Time,Bid,Ask,EUR,BTC,Trade,minPrice,maxPrice
14 Jan 14 11:39,615.00,615.75,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 11:49,615.00,617.37,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 11:59,612.49,614.30,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 12:09,614.30,615.20,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 12:19,611.30,613.90,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 12:29,610.90,612.76,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 12:39,610.90,610.92,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 12:49,610.90,610.92,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 12:59,608.19,610.92,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 13:09,603.50,604.60,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 13:19,609.67,611.90,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 13:29,609.66,610.12,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 13:40,609.01,609.65,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 13:50,608.10,609.00,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 14:00,608.11,610.00,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 14:10,607.48,610.00,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 14:20,607.50,609.99,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 14:30,610.01,610.52,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 14:40,610.01,610.52,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 14:50,610.03,612.01,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 15:00,610.03,612.01,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 15:10,610.00,611.86,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 15:20,609.00,609.99,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 15:30,607.90,607.99,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 15:40,606.02,607.89,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 15:50,606.01,607.96,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 16:01,606.16,607.97,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 16:11,607.99,608.99,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 16:21,608.99,610.51,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 16:31,610.50,612.04,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 16:41,608.55,610.51,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 16:51,612.03,613.90,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 17:01,612.51,613.90,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 17:11,612.03,613.83,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 17:21,610.01,612.02,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 17:31,610.50,612.44,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 17:41,610.50,612.35,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 17:51,610.70,612.08,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 18:01,608.21,610.49,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 18:11,608.23,610.46,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 18:21,611.99,613.51,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 18:31,608.23,610.46,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 18:41,609.08,612.12,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 18:51,609.08,612.12,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 19:01,610.60,613.00,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 19:12,613.01,613.65,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 19:22,611.93,612.93,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 19:32,610.60,612.49,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 19:42,610.60,612.60,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 19:52,610.60,612.59,42.63,0.142299,0.00,575.23,661.52
